NO.,POC ID,POC NAME,REGION,LOCATION,BDR NAME ,,,,
111,0010Y00001QK34qQAD,SWAYA MIN MARKET,SOUTH,ILOMBA,SAKINA MKETO,,,,
112,0010Y00001QK35vQAD,LUVANDA GROCERY,SOUTH,SAE,SAKINA MKETO,,,,
113,0010Y00001QK35xQAD,TOROKA UJE,SOUTH,IYUNGA,HAMIS CHANG'A,,,,
114,0010Y00001QK5GOQA1,AFTER WORK BAR AND LODGE,SOUTH,ISANGA,CHESCO KIVEMBELE,,,,
115,0010Y00001QK5FdQAL,WALI SAMAKI,SOUTH,SOWETO,CHESCO KIVEMBELE,,,,
116,0010Y00001QK38lQAD,SANGA MIN BAR,SOUTH,ISANGA,CHESCO KIVEMBELE,,,,
117,0010Y00001QK5FlQAL,HOPE VILLE,SOUTH,SOWETO,CHESCO KIVEMBELE,,,,
118,0010Y00001QK5EWQA1,MAPACHA BAR & LODGE,SOUTH,SOWETO,CHESCO KIVEMBELE,,,,
119,0010Y00001QK5ETQA1,RAMBO BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
120,0010Y00001QK5EwQAL,WAGADUGU BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
121,0010Y00001QK5EXQA1,COMPUTER BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
122,0010Y00001QK5EYQA1,POWER BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
123,0010Y00001QK5F8QAL,FACE TO FACE PUB,SOUTH,IYUNGA,HAMIS CHANG'A,,,,
124,0010Y00001QK5F9QAL,LONDON HIGH CLASS BAR,SOUTH,IYUNGA,HAMIS CHANG'A,,,,
125,0010Y00001QK2S4QAL,XTRA POWER,SOUTH,NZOVWE,CHESCO KIVEMBELE,,,,
126,0010Y00001QK5GaQAL,NEW ROMBO JOMELLA BAR,SOUTH,ISANGA,CHESCO KIVEMBELE,,,,
127,0010Y00001QK5FEQA1,BREAK POINT GARDEN BAR,SOUTH,IYUNGA,CHESCO KIVEMBELE,,,,
128,0010Y00001QK5FXQA1,MARAFIKI LOUNGE,SOUTH,ILOMBA,SAKINA MKETO,,,,
129,0010Y00001QK5ERQA1,KITELEWASI PUB,SOUTH,SONGWE,CHESCO KIVEMBELE,,,,
130,0010Y00001QK5GfQAL,KWETU BAR,SOUTH,UYOLE,SAKINA MKETO,,,,
131,0010Y00001QK5GKQA1,NEW SAVOY BAR,SOUTH,PHINE,CHESCO KIVEMBELE,,,,
132,0010Y00001QK5GVQA1,NYASANGA BAR & GUEST HOUSE,SOUTH,UYOLE,SAKINA MKETO,,,,
133,0010Y00001QK6JwQAL,MBEYA CARNIVAL NIGHT CLUB,SOUTH,MAFIATI,CHESCO KIVEMBELE,,,,
134,0010Y00001Vy563QAB,MIAMI SUPER BAR,SOUTH,MLANDEGE,SAIDI ZANI,,,,
135,0010Y00001blP5AQAU,LAMOLY ARENA THE SPORTS BAR,SOUTH,MAJENGO,MASOUD MRISHO,,,,
136,0010Y00001QK5FlQAL,HOPE VILLE,SOUTH,SOWETO,SAKINA MKETO,,,,
137,0010Y00001QK5FTQA1,TARAKEA BAR,SOUTH,ILOMBA,SAKINA MKETO,,,,
138,0010Y00001Vy48tQAB,VANTELLA GUEST HOUSE,SOUTH,KYELA,PRSICUS KIMARIO,,,,
139,0010Y00001QK2VqQAL,CHAULA LOUNGE,SOUTH,MZUMBE,HAMIS CHANG'A,,,,
140,0010Y00001QK32uQAD,USWAZI MIN BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
141,0010Y00001QK33EQAT,SHOW ROOM PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
142,0010Y00001QK33QQAT,GUBBA GROCERY,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
143,0010Y00001QK33VQAT,UNCLE NYALILE PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
144,0010Y00001QK5GBQA1,ROMBO ANNEX,SOUTH,KABWE,CHESCO KIVEMBELE,,,,
145,0010Y00001QK365QAD,ROMBO FRIENDS,SOUTH,KABWE,CHESCO KIVEMBELE,,,,
